Name	Instructions	Difficulty	Impact	Muscle Group(s)	Easier Modification	Harder Modification	Equipment Required	Is Stretch	Link
side-plank-knee-drives-right	Lay down on your left side and rest your upper body on your left hand, making sure the left arm is straight and in the same vertical line as your shoulder. Place your right hand on your right hip to help as a cue to keep your hips stacked. Your right foot should be resting on top of your left foot.	Hard	Normal	abs, shoulders, quadriceps	Try the following to make it easier.	Try the following to make it harder.	N/A	False	https://sworkit.com/exercise/side-plank-knee-drives-right
forward-head-roll	Standing with feet shoulder width apart bring your head forward and rotate from one shoulder to the next. Keep your back straight and breathing normal. This exercise is great for loosening up tight neck muscles and tension headaches. 	Easy	Low	shoulders	This exercise can be done seated. 	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	False	https://sworkit.com/exercise/forward-head-roll
curtsey-lunge-left	Start standing tall with feet at shoulder width and hands on hips. With your right foot, take a large step back and to the left. Your right foot should land behind and outside your left foot. Bend your knees and lunge. Your right knee should move close, but not touch, the floor. Both knees should be bent at about a forty-five degree angle. Step your right foot back to the starting position.	Medium	Low	glutes, hamstrings, quadriceps	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	False	https://sworkit.com/exercise/curtsey-lunge-left
running-in-place	Stand on some flat ground and bend your elbows to approximately 90 degrees and keep that at this angle during the exercise. Raise one arm up and lift the opposite foot up at the same time so that your knee comes up to the same height as your hips. Quickly hop from one foot to the other and at the same time swing your front arm back and the other arm forwards and up. As soon as you land onto the other foot, repeat this process of hopping and swinging your arms continuously for the duration of the exercise.	Easy	High	calves, quadriceps	Try our similar movements that are at a slower pace first such as our March in Place and Standing Mountain Climber exercises.	Once you have mastered Running in Place, increase the tempo with our Sprinter exercise, or challenge your balance more with High Knees.	N/A	False	https://sworkit.com/exercise/running-in-place
scissor-kicks	Start off lying down on your back with your arms by your sides, palms down pushing into the floor for support. Brace your abs and keep your lower back flat against the floor. 	Medium	Normal	abs, lower back, quadriceps	Make this exercise easier by performing it with a 90 degree bend at both knees so that your legs are bend. This shortens the lever and so reduces the load placed on your core and lower back. Also try exercises such as our Supine Bicycle and T Raises	Progress from this single leg  core exercise to our Leg Lifts which uses both legs and also our Leg Spreaders exercise to work the core in a similar but different direction.	N/A	False	https://sworkit.com/exercise/scissor-kicks
kettlebell-bottoms-up-press	Begin with your feet shoulder width apart, and tighten your core. Hold the Kettlebell in both hands. Lift the Kettlebell from your shoulders to above your head. Your elbows should start flared out (not tucked in) as you press the Kettlebell up they will straighten. Make sure you do not swing your upper body while lifting the Kettlebell. The movement should be in your shoulders and elbows. 	Medium	Low	triceps, biceps, upper back, shoulders	For an easier option try our Overhead Press (without weight).	Once you have mastered this move you can move to Kettlebell Clean and Press. 	Kettlebell	False	https://sworkit.com/exercise/kettlebell-bottoms-up-press
resistance-loop-leg-lifts-left	With the band around your shins, stand on your right leg and lean forwards slightly. Lift and kick your left leg out behind you against the resistance of the band.	Medium	Low	glutes, hamstrings	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	Resistance Loop	False	https://sworkit.com/exercise/resistance-loop-leg-lifts-left
triangle-forward-bend-left	Begin by standing up and stepping your left foot forward one pace or about a yard. Then, keeping both legs as straight as possible and your feet flat on the floor, lower your upper body over your front leg, aiming to get your hands to tough the floor. Then lower your head down towards your front shin.	Easy	Low	upper back, lower back, hamstrings	If you find this hard to do with straight legs, try having a slight bend in your front leg to release the hamstring tension a little. Also if you cannot reach the floor with your hands, support yourself by holding around your front ankle. 	N/A	N/A	False	https://sworkit.com/exercise/triangle-forward-bend-left
standing-forward-bend	Reach up to the ceiling. Activate your core by drawing your belly button towards the spine. Bend the knees slightly so they are not locked out and then hinging at the hips fold as deeply forward as you can go. On the way down keep your back as straight as possible for as long as possible and then allow it to curve at the bottom of the forward bend.	Easy	Low	lower back, hamstrings	Bend the knees deeply for the entire exercise.	To increase the difficulty, pause half way down for a few breaths, ensuring the back is as flat as possible, parallel to the floor.	N/A	False	https://sworkit.com/exercise/standing-forward-bend
dumbbell-dead-lifts	Stand with your feet at hip width and a dumbbell in each hand, by your sides. Drive your hips back and hinge forward at the hips, maintain the natural inward curve of your lower back. From the bottom position, keep your shoulders drawn back and down, then straighten your legs and drive your hips forwards to return you back to standing with the dumbbells at your sides again. You do not need to lift the dumbbells higher by bending your arms.	Hard	Normal	upper back, lower back, calves, glutes, hamstrings, quadriceps	This exercise can be done with lighter weights, or even just as a body weight exercise to learn the technique slowly. Also try our Good Mornings exercise as a great drill to understand how to hinge at your hips and maintian a neutral spine.	To increase the intensity of this exercise, increase the weight of your dumbbells or try lowering the weights really slowly. You can also increase the difficulty with our exercises: Kettlebell Suitcase Deadlift and Kettlebell Single Dead Lift.	Dumbbell	False	https://sworkit.com/exercise/dumbbell-dead-lifts
